// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> Returning to the dorm, we changed to our jerseys.

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> Having changed into our jerseys, we started the preparation for the training.

//<0002> nothing

//<2114> nothing
<2114> nothing

//<2115> 先客が居た。高松だ。
<2115> 先客が居た。高松だ。

//<2116> nothing
<2116> nothing

//<2117> nothing
<2117> nothing

//<2118> nothing
<2118> nothing

//<2119> nothing
<2119> nothing

//<2120> nothing
<2120> nothing

//<2121> 高松
<2121> 高松

//<2122> 「これはこれは。おふたりで銃の練習ですか。仲よさそうですね」
<2122> 「これはこれは。おふたりで銃の練習ですか。仲よさそうですね」

//<2123> Otonashi
<2123> Otonashi

//<2124> クソ坊主
<2124> クソ坊主

//<2125> 代理人
<2125> 代理人

//<2126> 微妙すぎるイケメン
<2126> 微妙すぎるイケメン

//<2127> ロリコン
<2127> ロリコン

//<2128> メガネ仲間
<2128> メガネ仲間

//<2129> 暗算日本記録保持者
<2129> 暗算日本記録保持者

//<2130> 通り魔
<2130> 通り魔

//<2131> 記憶ナシ男
<2131> 記憶ナシ男

//<2132> 音速
<2132> 音速

//<2133> 無限
<2133> 無限

//<2134> Horny Samurai
<2134> Horny Samurai

//<2135> Super Horny Squad Member 1
<2135> Super Horny Squad Member 1

//<2136> Horny Boy
<2136> Horny Boy

//<2137> Ugly Yuri
<2137> Ugly Yuri

//<2138> Depussy
<2138> Depussy

//<2139> Perverted American Dog
<2139> Perverted American Dog

//<2140> Zeus
<2140> Zeus

//<2141> Hinata mark II
<2141> Hinata mark II

//<2142> Dung Beetle
<2142> Dung Beetle

//<2143> Mass Produced Hinata
<2143> Mass Produced Hinata

//<2144> ？？
<2144> ？？

//<2145> 「恐いこと言うなよ…」
<2145> 「恐いこと言うなよ…」

//<2146> Hinata
<2146> Hinata

//<2147> 男Ｂ
<2147> 男Ｂ

//<2148> Super Horny Squad Leader
<2148> Super Horny Squad Leader

//<2149> Handsome-chin
<2149> Handsome-chin

//<2150> Homota
<2150> Homota

//<2151> Hina-chin
<2151> Hina-chin

//<2152> Hideki
<2152> Hideki

//<2153> 男子生徒
<2153> 男子生徒

//<2154> ？？
<2154> ？？

//<2155> 「え?　どーして!?」
<2155> 「え?　どーして!?」

//<2156> Otonashi
<2156> Otonashi

//<2157> クソ坊主
<2157> クソ坊主

//<2158> 代理人
<2158> 代理人

//<2159> 微妙すぎるイケメン
<2159> 微妙すぎるイケメン

//<2160> ロリコン
<2160> ロリコン

//<2161> メガネ仲間
<2161> メガネ仲間

//<2162> 暗算日本記録保持者
<2162> 暗算日本記録保持者

//<2163> 通り魔
<2163> 通り魔

//<2164> 記憶ナシ男
<2164> 記憶ナシ男

//<2165> 音速
<2165> 音速

//<2166> 無限
<2166> 無限

//<2167> Horny Samurai
<2167> Horny Samurai

//<2168> Super Horny Squad Member 1
<2168> Super Horny Squad Member 1

//<2169> Horny Boy
<2169> Horny Boy

//<2170> Ugly Yuri
<2170> Ugly Yuri

//<2171> Depussy
<2171> Depussy

//<2172> Perverted American Dog
<2172> Perverted American Dog

//<2173> Zeus
<2173> Zeus

//<2174> Hinata mark II
<2174> Hinata mark II

//<2175> Dung Beetle
<2175> Dung Beetle

//<2176> Mass Produced Hinata
<2176> Mass Produced Hinata

//<2177> ？？
<2177> ？？

//<2178> 「いや…お前がホモだから」
<2178> 「いや…お前がホモだから」

//<2179> nothing
<2179> nothing

//<2180> nothing
<2180> nothing

//<2181> nothing
<2181> nothing

//<2182> nothing
<2182> nothing

//<2183> Hinata
<2183> Hinata

//<2184> 男Ｂ
<2184> 男Ｂ

//<2185> Super Horny Squad Leader
<2185> Super Horny Squad Leader

//<2186> Handsome-chin
<2186> Handsome-chin

//<2187> Homota
<2187> Homota

//<2188> Hina-chin
<2188> Hina-chin

//<2189> Hideki
<2189> Hideki

//<2190> 男子生徒
<2190> 男子生徒

//<2191> ？？
<2191> ？？

//<2192> 「だから、ちっっがーーーーーうっ!!」
<2192> 「だから、ちっっがーーーーーうっ!!」

//<2193> nothing
<2193> nothing

//<2194> nothing
<2194> nothing

//<2195> nothing
<2195> nothing

//<2196> nothing
<2196> nothing

//<2197> nothing
<2197> nothing

//<2198> 高松
<2198> 高松

//<2199> 「火のない所に、なになにってやつですよ」
<2199> 「火のない所に、なになにってやつですよ」

//<2200> Otonashi
<2200> Otonashi

//<2201> クソ坊主
<2201> クソ坊主

//<2202> 代理人
<2202> 代理人

//<2203> 微妙すぎるイケメン
<2203> 微妙すぎるイケメン

//<2204> ロリコン
<2204> ロリコン

//<2205> メガネ仲間
<2205> メガネ仲間

//<2206> 暗算日本記録保持者
<2206> 暗算日本記録保持者

//<2207> 通り魔
<2207> 通り魔

//<2208> 記憶ナシ男
<2208> 記憶ナシ男

//<2209> 音速
<2209> 音速

//<2210> 無限
<2210> 無限

//<2211> Horny Samurai
<2211> Horny Samurai

//<2212> Super Horny Squad Member 1
<2212> Super Horny Squad Member 1

//<2213> Horny Boy
<2213> Horny Boy

//<2214> Ugly Yuri
<2214> Ugly Yuri

//<2215> Depussy
<2215> Depussy

//<2216> Perverted American Dog
<2216> Perverted American Dog

//<2217> Zeus
<2217> Zeus

//<2218> Hinata mark II
<2218> Hinata mark II

//<2219> Dung Beetle
<2219> Dung Beetle

//<2220> Mass Produced Hinata
<2220> Mass Produced Hinata

//<2221> ？？
<2221> ？？

//<2222> 「お前、やっぱり…!」
<2222> 「お前、やっぱり…!」

//<2223> nothing
<2223> nothing

//<2224> nothing
<2224> nothing

//<2225> nothing
<2225> nothing

//<2226> nothing
<2226> nothing

//<2227> nothing
<2227> nothing

//<2228> Hinata
<2228> Hinata

//<2229> 男Ｂ
<2229> 男Ｂ

//<2230> Super Horny Squad Leader
<2230> Super Horny Squad Leader

//<2231> Handsome-chin
<2231> Handsome-chin

//<2232> Homota
<2232> Homota

//<2233> Hina-chin
<2233> Hina-chin

//<2234> Hideki
<2234> Hideki

//<2235> 男子生徒
<2235> 男子生徒

//<2236> ？？
<2236> ？？

//<2237> 「ホモじゃねぇーー!!」
<2237> 「ホモじゃねぇーー!!」

//<2238> この必死さが余計に疑わしく思える…。
<2238> この必死さが余計に疑わしく思える…。

//<2239> nothing
<2239> nothing

//<2240> nothing
<2240> nothing

//<2241> nothing
<2241> nothing

//<2242> nothing
<2242> nothing

//<2243> nothing
<2243> nothing

//<2244> Hinata
<2244> Hinata

//<2245> 男Ｂ
<2245> 男Ｂ

//<2246> Super Horny Squad Leader
<2246> Super Horny Squad Leader

//<2247> Handsome-chin
<2247> Handsome-chin

//<2248> Homota
<2248> Homota

//<2249> Hina-chin
<2249> Hina-chin

//<2250> Hideki
<2250> Hideki

//<2251> 男子生徒
<2251> 男子生徒

//<2252> ？？
<2252> ？？

//<2253> 「Otonashi、ぜってー違うからなっ」
<2253> 「Otonashi、ぜってー違うからなっ」

//<2254> Otonashi
<2254> Otonashi

//<2255> クソ坊主
<2255> クソ坊主

//<2256> 代理人
<2256> 代理人

//<2257> 微妙すぎるイケメン
<2257> 微妙すぎるイケメン

//<2258> ロリコン
<2258> ロリコン

//<2259> メガネ仲間
<2259> メガネ仲間

//<2260> 暗算日本記録保持者
<2260> 暗算日本記録保持者

//<2261> 通り魔
<2261> 通り魔

//<2262> 記憶ナシ男
<2262> 記憶ナシ男

//<2263> 音速
<2263> 音速

//<2264> 無限
<2264> 無限

//<2265> Horny Samurai
<2265> Horny Samurai

//<2266> Super Horny Squad Member 1
<2266> Super Horny Squad Member 1

//<2267> Horny Boy
<2267> Horny Boy

//<2268> Ugly Yuri
<2268> Ugly Yuri

//<2269> Depussy
<2269> Depussy

//<2270> Perverted American Dog
<2270> Perverted American Dog

//<2271> Zeus
<2271> Zeus

//<2272> Hinata mark II
<2272> Hinata mark II

//<2273> Dung Beetle
<2273> Dung Beetle

//<2274> Mass Produced Hinata
<2274> Mass Produced Hinata

//<2275> ？？
<2275> ？？

//<2276> 「あ、ああ…」
<2276> 「あ、ああ…」

//<2277> Otonashi
<2277> Otonashi

//<2278> クソ坊主
<2278> クソ坊主

//<2279> 代理人
<2279> 代理人

//<2280> 微妙すぎるイケメン
<2280> 微妙すぎるイケメン

//<2281> ロリコン
<2281> ロリコン

//<2282> メガネ仲間
<2282> メガネ仲間

//<2283> 暗算日本記録保持者
<2283> 暗算日本記録保持者

//<2284> 通り魔
<2284> 通り魔

//<2285> 記憶ナシ男
<2285> 記憶ナシ男

//<2286> 音速
<2286> 音速

//<2287> 無限
<2287> 無限

//<2288> Horny Samurai
<2288> Horny Samurai

//<2289> Super Horny Squad Member 1
<2289> Super Horny Squad Member 1

//<2290> Horny Boy
<2290> Horny Boy

//<2291> Ugly Yuri
<2291> Ugly Yuri

//<2292> Depussy
<2292> Depussy

//<2293> Perverted American Dog
<2293> Perverted American Dog

//<2294> Zeus
<2294> Zeus

//<2295> Hinata mark II
<2295> Hinata mark II

//<2296> Dung Beetle
<2296> Dung Beetle

//<2297> Mass Produced Hinata
<2297> Mass Produced Hinata

//<2298> ？？
<2298> ？？

//<2299> 「ああ。よくしてもらってるよ」
<2299> 「ああ。よくしてもらってるよ」

//<2300> Hinata
<2300> Hinata

//<2301> 男Ｂ
<2301> 男Ｂ

//<2302> Super Horny Squad Leader
<2302> Super Horny Squad Leader

//<2303> Handsome-chin
<2303> Handsome-chin

//<2304> Homota
<2304> Homota

//<2305> Hina-chin
<2305> Hina-chin

//<2306> Hideki
<2306> Hideki

//<2307> 男子生徒
<2307> 男子生徒

//<2308> ？？
<2308> ？？

//<2309> 「おお、そう言ってもらえると嬉しいぜ」
<2309> 「おお、そう言ってもらえると嬉しいぜ」

//<2310> Hinata
<2310> Hinata

//<2311> 男Ｂ
<2311> 男Ｂ

//<2312> Super Horny Squad Leader
<2312> Super Horny Squad Leader

//<2313> Handsome-chin
<2313> Handsome-chin

//<2314> Homota
<2314> Homota

//<2315> Hina-chin
<2315> Hina-chin

//<2316> Hideki
<2316> Hideki

//<2317> 男子生徒
<2317> 男子生徒

//<2318> ？？
<2318> ？？

//<2319> 「新入りの面倒を見るのも俺の仕事さ」
<2319> 「新入りの面倒を見るのも俺の仕事さ」

//<2320> nothing
<2320> nothing

//<2321> nothing
<2321> nothing

//<2322> nothing
<2322> nothing

//<2323> nothing
<2323> nothing

//<2324> nothing
<2324> nothing

//<2325> 高松
<2325> 高松

//<2326> 「私は、これで終わりますので、少しお待ちを」
<2326> 「私は、これで終わりますので、少しお待ちを」

//<2327> nothing
<2327> nothing

//<2328> nothing
<2328> nothing

//<2329> nothing
<2329> nothing

//<2330> nothing
<2330> nothing

//<2331> nothing
<2331> nothing

//<2332> nothing
<2332> nothing

//<2333> 川縁のごつごつした岩肌の手前に学習机が並び、その上には缶コーヒーの空き缶だろうか、いくつも並んでいた。
<2333> 川縁のごつごつした岩肌の手前に学習机が並び、その上には缶コーヒーの空き缶だろうか、いくつも並んでいた。

//<2334> 高松はそれに向けて、銃を構える。
<2334> 高松はそれに向けて、銃を構える。

//<2335> se_handgun
<2335> se_handgun

//<2336> None
<2336> None

//<2337> se_shotting_can
<2337> se_shotting_can

//<2338> かぁん!
<2338> かぁん!

//<2339> se_handgun
<2339> se_handgun

//<2340> None
<2340> None

//<2341> se_shotting_can
<2341> se_shotting_can

//<2342> かぁん!
<2342> かぁん!

//<2343> se_handgun
<2343> se_handgun

//<2344> None
<2344> None

//<2345> se_shotting_can
<2345> se_shotting_can

//<2346> かぁん!
<2346> かぁん!

//<2347> se_handgun
<2347> se_handgun

//<2348> None
<2348> None

//<2349> 左から、順に缶を飛ばしていく。最後だけは外れたが、それでもすごい命中率だ…。
<2349> 左から、順に缶を飛ばしていく。最後だけは外れたが、それでもすごい命中率だ…。

//<2350> nothing
<2350> nothing

//<2351> nothing
<2351> nothing

//<2352> nothing
<2352> nothing

//<2353> nothing
<2353> nothing

//<2354> nothing
<2354> nothing

//<2355> 高松
<2355> 高松

//<2356> 「立て直してきます」
<2356> 「立て直してきます」

//<2357> nothing
<2357> nothing

//<2358> nothing
<2358> nothing

//<2359> nothing
<2359> nothing

//<2360> nothing
<2360> nothing

//<2361> nothing
<2361> nothing

//<2362> nothing
<2362> nothing

//<2363> 高松がもう一度、缶を立て直し戻ってきて、俺を見て訊く。
<2363> 高松がもう一度、缶を立て直し戻ってきて、俺を見て訊く。

//<2364> nothing
<2364> nothing

//<2365> nothing
<2365> nothing

//<2366> nothing
<2366> nothing

//<2367> nothing
<2367> nothing

//<2368> nothing
<2368> nothing

//<2369> 高松
<2369> 高松

//<2370> 「あなたが撃つんでしょう?」
<2370> 「あなたが撃つんでしょう?」

//<2371> Hinata
<2371> Hinata

//<2372> 男Ｂ
<2372> 男Ｂ

//<2373> Super Horny Squad Leader
<2373> Super Horny Squad Leader

//<2374> Handsome-chin
<2374> Handsome-chin

//<2375> Homota
<2375> Homota

//<2376> Hina-chin
<2376> Hina-chin

//<2377> Hideki
<2377> Hideki

//<2378> 男子生徒
<2378> 男子生徒

//<2379> ？？
<2379> ？？

//<2380> 「ああ、そうだ」
<2380> 「ああ、そうだ」

//<2381> 俺より先にHinataが答えていた。
<2381> 俺より先にHinataが答えていた。

//<2382> nothing
<2382> nothing

//<2383> nothing
<2383> nothing

//<2384> nothing
<2384> nothing

//<2385> nothing
<2385> nothing

//<2386> nothing
<2386> nothing

//<2387> 高松
<2387> 高松

//<2388> 「それは興味深い。見学していきます」
<2388> 「それは興味深い。見学していきます」

//<2389> nothing
<2389> nothing

//<2390> nothing
<2390> nothing

//<2391> nothing
<2391> nothing

//<2392> nothing
<2392> nothing

//<2393> nothing
<2393> nothing

//<2394> nothing
<2394> nothing

//<2395> Otonashi
<2395> Otonashi

//<2396> クソ坊主
<2396> クソ坊主

//<2397> 代理人
<2397> 代理人

//<2398> 微妙すぎるイケメン
<2398> 微妙すぎるイケメン

//<2399> ロリコン
<2399> ロリコン

//<2400> メガネ仲間
<2400> メガネ仲間

//<2401> 暗算日本記録保持者
<2401> 暗算日本記録保持者

//<2402> 通り魔
<2402> 通り魔

//<2403> 記憶ナシ男
<2403> 記憶ナシ男

//<2404> 音速
<2404> 音速

//<2405> 無限
<2405> 無限

//<2406> Horny Samurai
<2406> Horny Samurai

//<2407> Super Horny Squad Member 1
<2407> Super Horny Squad Member 1

//<2408> Horny Boy
<2408> Horny Boy

//<2409> Ugly Yuri
<2409> Ugly Yuri

//<2410> Depussy
<2410> Depussy

//<2411> Perverted American Dog
<2411> Perverted American Dog

//<2412> Zeus
<2412> Zeus

//<2413> Hinata mark II
<2413> Hinata mark II

//<2414> Dung Beetle
<2414> Dung Beetle

//<2415> Mass Produced Hinata
<2415> Mass Produced Hinata

//<2416> ？？
<2416> ？？

//<2417> (あの後で…なんてプレッシャーだ!!)
<2417> (あの後で…なんてプレッシャーだ!!)

//<2418> nothing
<2418> nothing

//<2419> nothing
<2419> nothing

//<2420> nothing
<2420> nothing

//<2421> nothing
<2421> nothing

//<2422> nothing
<2422> nothing

//<2423> Hinata
<2423> Hinata

//<2424> 男Ｂ
<2424> 男Ｂ

//<2425> Super Horny Squad Leader
<2425> Super Horny Squad Leader

//<2426> Handsome-chin
<2426> Handsome-chin

//<2427> Homota
<2427> Homota

//<2428> Hina-chin
<2428> Hina-chin

//<2429> Hideki
<2429> Hideki

//<2430> 男子生徒
<2430> 男子生徒

//<2431> ？？
<2431> ？？

//<2432> 「銃を取り出せ」
<2432> 「銃を取り出せ」

//<2433> 言われた通りに取り出す。
<2433> 言われた通りに取り出す。

//<2434> nothing
<2434> nothing

//<2435> nothing
<2435> nothing

//<2436> nothing
<2436> nothing

//<2437> nothing
<2437> nothing

//<2438> nothing
<2438> nothing

//<2439> Hinata
<2439> Hinata

//<2440> 男Ｂ
<2440> 男Ｂ

//<2441> Super Horny Squad Leader
<2441> Super Horny Squad Leader

//<2442> Handsome-chin
<2442> Handsome-chin

//<2443> Homota
<2443> Homota

//<2444> Hina-chin
<2444> Hina-chin

//<2445> Hideki
<2445> Hideki

//<2446> 男子生徒
<2446> 男子生徒

//<2447> ？？
<2447> ？？

//<2448> 「高松のように、ここから缶を狙って撃て」
<2448> 「高松のように、ここから缶を狙って撃て」

//<2449> Otonashi
<2449> Otonashi

//<2450> クソ坊主
<2450> クソ坊主

//<2451> 代理人
<2451> 代理人

//<2452> 微妙すぎるイケメン
<2452> 微妙すぎるイケメン

//<2453> ロリコン
<2453> ロリコン

//<2454> メガネ仲間
<2454> メガネ仲間

//<2455> 暗算日本記録保持者
<2455> 暗算日本記録保持者

//<2456> 通り魔
<2456> 通り魔

//<2457> 記憶ナシ男
<2457> 記憶ナシ男

//<2458> 音速
<2458> 音速

//<2459> 無限
<2459> 無限

//<2460> Horny Samurai
<2460> Horny Samurai

//<2461> Super Horny Squad Member 1
<2461> Super Horny Squad Member 1

//<2462> Horny Boy
<2462> Horny Boy

//<2463> Ugly Yuri
<2463> Ugly Yuri

//<2464> Depussy
<2464> Depussy

//<2465> Perverted American Dog
<2465> Perverted American Dog

//<2466> Zeus
<2466> Zeus

//<2467> Hinata mark II
<2467> Hinata mark II

//<2468> Dung Beetle
<2468> Dung Beetle

//<2469> Mass Produced Hinata
<2469> Mass Produced Hinata

//<2470> ？？
<2470> ？？

//<2471> 「ああ…」
<2471> 「ああ…」

//<2472> nothing
<2472> nothing

//<2473> nothing
<2473> nothing

//<2474> nothing
<2474> nothing

//<2475> nothing
<2475> nothing

//<2476> nothing
<2476> nothing

//<2477> nothing
<2477> nothing

//<2478> そのポジションに移動する。
<2478> そのポジションに移動する。

//<2479> Otonashi
<2479> Otonashi

//<2480> クソ坊主
<2480> クソ坊主

//<2481> 代理人
<2481> 代理人

//<2482> 微妙すぎるイケメン
<2482> 微妙すぎるイケメン

//<2483> ロリコン
<2483> ロリコン

//<2484> メガネ仲間
<2484> メガネ仲間

//<2485> 暗算日本記録保持者
<2485> 暗算日本記録保持者

//<2486> 通り魔
<2486> 通り魔

//<2487> 記憶ナシ男
<2487> 記憶ナシ男

//<2488> 音速
<2488> 音速

//<2489> 無限
<2489> 無限

//<2490> Horny Samurai
<2490> Horny Samurai

//<2491> Super Horny Squad Member 1
<2491> Super Horny Squad Member 1

//<2492> Horny Boy
<2492> Horny Boy

//<2493> Ugly Yuri
<2493> Ugly Yuri

//<2494> Depussy
<2494> Depussy

//<2495> Perverted American Dog
<2495> Perverted American Dog

//<2496> Zeus
<2496> Zeus

//<2497> Hinata mark II
<2497> Hinata mark II

//<2498> Dung Beetle
<2498> Dung Beetle

//<2499> Mass Produced Hinata
<2499> Mass Produced Hinata

//<2500> ？？
<2500> ？？

//<2501> (生前に撃ってるはずもないだろう…自分の感性を信じるしかない…)
<2501> (生前に撃ってるはずもないだろう…自分の感性を信じるしかない…)

//<2502> 銃を構え、照準を合わせる。
<2502> 銃を構え、照準を合わせる。

//<2503> se_handgun2
<2503> se_handgun2

//<2504> None
<2504> None

//<2505> ぱぁん!
<2505> ぱぁん!

//<2506> 撃ったが、反動を抑えきれず、天井に当たる。
<2506> 撃ったが、反動を抑えきれず、天井に当たる。

//<2507> Otonashi
<2507> Otonashi

//<2508> クソ坊主
<2508> クソ坊主

//<2509> 代理人
<2509> 代理人

//<2510> 微妙すぎるイケメン
<2510> 微妙すぎるイケメン

//<2511> ロリコン
<2511> ロリコン

//<2512> メガネ仲間
<2512> メガネ仲間

//<2513> 暗算日本記録保持者
<2513> 暗算日本記録保持者

//<2514> 通り魔
<2514> 通り魔

//<2515> 記憶ナシ男
<2515> 記憶ナシ男

//<2516> 音速
<2516> 音速

//<2517> 無限
<2517> 無限

//<2518> Horny Samurai
<2518> Horny Samurai

//<2519> Super Horny Squad Member 1
<2519> Super Horny Squad Member 1

//<2520> Horny Boy
<2520> Horny Boy

//<2521> Ugly Yuri
<2521> Ugly Yuri

//<2522> Depussy
<2522> Depussy

//<2523> Perverted American Dog
<2523> Perverted American Dog

//<2524> Zeus
<2524> Zeus

//<2525> Hinata mark II
<2525> Hinata mark II

//<2526> Dung Beetle
<2526> Dung Beetle

//<2527> Mass Produced Hinata
<2527> Mass Produced Hinata

//<2528> ？？
<2528> ？？

//<2529> (こんなに反動があるのか…)
<2529> (こんなに反動があるのか…)

//<2530> nothing
<2530> nothing

//<2531> nothing
<2531> nothing

//<2532> nothing
<2532> nothing

//<2533> nothing
<2533> nothing

//<2534> nothing
<2534> nothing

//<2535> Hinata
<2535> Hinata

//<2536> 男Ｂ
<2536> 男Ｂ

//<2537> Super Horny Squad Leader
<2537> Super Horny Squad Leader

//<2538> Handsome-chin
<2538> Handsome-chin

//<2539> Homota
<2539> Homota

//<2540> Hina-chin
<2540> Hina-chin

//<2541> Hideki
<2541> Hideki

//<2542> 男子生徒
<2542> 男子生徒

//<2543> ？？
<2543> ？？

//<2544> 「衝撃は、両腕と両肩に力を込めて、押さえ込め」
<2544> 「衝撃は、両腕と両肩に力を込めて、押さえ込め」

//<2545> Otonashi
<2545> Otonashi

//<2546> クソ坊主
<2546> クソ坊主

//<2547> 代理人
<2547> 代理人

//<2548> 微妙すぎるイケメン
<2548> 微妙すぎるイケメン

//<2549> ロリコン
<2549> ロリコン

//<2550> メガネ仲間
<2550> メガネ仲間

//<2551> 暗算日本記録保持者
<2551> 暗算日本記録保持者

//<2552> 通り魔
<2552> 通り魔

//<2553> 記憶ナシ男
<2553> 記憶ナシ男

//<2554> 音速
<2554> 音速

//<2555> 無限
<2555> 無限

//<2556> Horny Samurai
<2556> Horny Samurai

//<2557> Super Horny Squad Member 1
<2557> Super Horny Squad Member 1

//<2558> Horny Boy
<2558> Horny Boy

//<2559> Ugly Yuri
<2559> Ugly Yuri

//<2560> Depussy
<2560> Depussy

//<2561> Perverted American Dog
<2561> Perverted American Dog

//<2562> Zeus
<2562> Zeus

//<2563> Hinata mark II
<2563> Hinata mark II

//<2564> Dung Beetle
<2564> Dung Beetle

//<2565> Mass Produced Hinata
<2565> Mass Produced Hinata

//<2566> ？？
<2566> ？？

//<2567> (高松はああ見えて、それを押さえ込む筋力があるということか…)
<2567> (高松はああ見えて、それを押さえ込む筋力があるということか…)

//<2568> nothing
<2568> nothing

//<2569> nothing
<2569> nothing

//<2570> nothing
<2570> nothing

//<2571> nothing
<2571> nothing

//<2572> nothing
<2572> nothing

//<2573> Otonashi
<2573> Otonashi

//<2574> クソ坊主
<2574> クソ坊主

//<2575> 代理人
<2575> 代理人

//<2576> 微妙すぎるイケメン
<2576> 微妙すぎるイケメン

//<2577> ロリコン
<2577> ロリコン

//<2578> メガネ仲間
<2578> メガネ仲間

//<2579> 暗算日本記録保持者
<2579> 暗算日本記録保持者

//<2580> 通り魔
<2580> 通り魔

//<2581> 記憶ナシ男
<2581> 記憶ナシ男

//<2582> 音速
<2582> 音速

//<2583> 無限
<2583> 無限

//<2584> Horny Samurai
<2584> Horny Samurai

//<2585> Super Horny Squad Member 1
<2585> Super Horny Squad Member 1

//<2586> Horny Boy
<2586> Horny Boy

//<2587> Ugly Yuri
<2587> Ugly Yuri

//<2588> Depussy
<2588> Depussy

//<2589> Perverted American Dog
<2589> Perverted American Dog

//<2590> Zeus
<2590> Zeus

//<2591> Hinata mark II
<2591> Hinata mark II

//<2592> Dung Beetle
<2592> Dung Beetle

//<2593> Mass Produced Hinata
<2593> Mass Produced Hinata

//<2594> ？？
<2594> ？？

//<2595> 「わかった」
<2595> 「わかった」

//<2596> nothing
<2596> nothing

//<2597> nothing
<2597> nothing

//<2598> nothing
<2598> nothing

//<2599> nothing
<2599> nothing

//<2600> nothing
<2600> nothing

//<2601> Hinata
<2601> Hinata

//<2602> 男Ｂ
<2602> 男Ｂ

//<2603> Super Horny Squad Leader
<2603> Super Horny Squad Leader

//<2604> Handsome-chin
<2604> Handsome-chin

//<2605> Homota
<2605> Homota

//<2606> Hina-chin
<2606> Hina-chin

//<2607> Hideki
<2607> Hideki

//<2608> 男子生徒
<2608> 男子生徒

//<2609> ？？
<2609> ？？

//<2610> 「後、照門と照星はわかるか」
<2610> 「後、照門と照星はわかるか」

//<2611> Otonashi
<2611> Otonashi

//<2612> クソ坊主
<2612> クソ坊主

//<2613> 代理人
<2613> 代理人

//<2614> 微妙すぎるイケメン
<2614> 微妙すぎるイケメン

//<2615> ロリコン
<2615> ロリコン

//<2616> メガネ仲間
<2616> メガネ仲間

//<2617> 暗算日本記録保持者
<2617> 暗算日本記録保持者

//<2618> 通り魔
<2618> 通り魔

//<2619> 記憶ナシ男
<2619> 記憶ナシ男

//<2620> 音速
<2620> 音速

//<2621> 無限
<2621> 無限

//<2622> Horny Samurai
<2622> Horny Samurai

//<2623> Super Horny Squad Member 1
<2623> Super Horny Squad Member 1

//<2624> Horny Boy
<2624> Horny Boy

//<2625> Ugly Yuri
<2625> Ugly Yuri

//<2626> Depussy
<2626> Depussy

//<2627> Perverted American Dog
<2627> Perverted American Dog

//<2628> Zeus
<2628> Zeus

//<2629> Hinata mark II
<2629> Hinata mark II

//<2630> Dung Beetle
<2630> Dung Beetle

//<2631> Mass Produced Hinata
<2631> Mass Produced Hinata

//<2632> ？？
<2632> ？？

//<2633> 「いや、さっぱり」
<2633> 「いや、さっぱり」

//<2634> nothing
<2634> nothing

//<2635> nothing
<2635> nothing

//<2636> nothing
<2636> nothing

//<2637> nothing
<2637> nothing

//<2638> nothing
<2638> nothing

//<2639> Hinata
<2639> Hinata

//<2640> 男Ｂ
<2640> 男Ｂ

//<2641> Super Horny Squad Leader
<2641> Super Horny Squad Leader

//<2642> Handsome-chin
<2642> Handsome-chin

//<2643> Homota
<2643> Homota

//<2644> Hina-chin
<2644> Hina-chin

//<2645> Hideki
<2645> Hideki

//<2646> 男子生徒
<2646> 男子生徒

//<2647> ？？
<2647> ？？

//<2648> 「じゃ、俺の銃で説明する」
<2648> 「じゃ、俺の銃で説明する」

//<2649> nothing
<2649> nothing

//<2650> nothing
<2650> nothing

//<2651> nothing
<2651> nothing

//<2652> nothing
<2652> nothing

//<2653> nothing
<2653> nothing

//<2654> Hinataが自分の銃を取り出す。
<2654> Hinataが自分の銃を取り出す。

//<2655> nothing
<2655> nothing

//<2656> nothing
<2656> nothing

//<2657> nothing
<2657> nothing

//<2658> nothing
<2658> nothing

//<2659> nothing
<2659> nothing

//<2660> Hinata
<2660> Hinata

//<2661> 男Ｂ
<2661> 男Ｂ

//<2662> Super Horny Squad Leader
<2662> Super Horny Squad Leader

//<2663> Handsome-chin
<2663> Handsome-chin

//<2664> Homota
<2664> Homota

//<2665> Hina-chin
<2665> Hina-chin

//<2666> Hideki
<2666> Hideki

//<2667> 男子生徒
